"cat01_code","男女別人口総数及び世帯総数","cat02_code","秘匿地域・合算地域有り","area_code","新潟県","unit","value"
"0010","人口総数","1","無し","15101078001","新潟市北区上土地亀","人","233"
"0010","人口総数","1","無し","15101078002","新潟市北区上土地亀古鳥屋","人","157"
"0010","人口総数","1","無し","15101078003","新潟市北区上土地亀下土地亀","人","6"
"0010","人口総数","1","無し","151010790","新潟市北区新井郷","人","255"
"0010","人口総数","1","無し","151010800","新潟市北区下土地亀","人","333"
"0010","人口総数","1","無し","151010810","新潟市北区上堀田","人","216"
"0010","人口総数","1","無し","151010820","新潟市北区岡新田","人","100"
"0010","人口総数","1","無し","151010830","新潟市北区里飯野","人","65"
"0010","人口総数","1","無し","151010840","新潟市北区上大月","人","223"
"0010","人口総数","1","無し","151010850","新潟市北区大月","人","401"
"0010","人口総数","1","無し","151010860","新潟市北区長場","人","415"
"0010","人口総数","1","無し","151010870","新潟市北区浦木","人","279"
"0010","人口総数","1","無し","151010880","新潟市北区長戸","人","185"
"0010","人口総数","1","無し","151010890","新潟市北区内沼","人","618"
"0010","人口総数","1","無し","15101089001","新潟市北区内沼","人","499"
"0010","人口総数","1","無し","15101089002","新潟市北区内沼内沼沖","人","119"
"0010","人口総数","1","無し","151010900","新潟市北区かぶとやま","人","365"
"0010","人口総数","1","無し","15101090001","新潟市北区かぶとやま１丁目","人","365"
"0010","人口総数","1","無し","15101090002","新潟市北区かぶとやま２丁目","人","0"
"0010","人口総数","1","無し","151010901","新潟市北区横越、小杉","人","0"
"0010","人口総数","1","無し","15102","新潟市東区","人","137577"
"0010","人口総数","1","無し","151020010","新潟市東区秋葉通","人","1487"
"0010","人口総数","1","無し","15102001002","新潟市東区秋葉通２丁目","人","1117"
"0010","人口総数","1","無し","15102001003","新潟市東区秋葉通３丁目","人","370"
"0010","人口総数","1","無し","151020020","新潟市東区秋葉","人","1960"
"0010","人口総数","1","無し","151020030","新潟市東区粟山","人","2897"
"0010","人口総数","1","無し","15102003001","新潟市東区粟山１丁目","人","631"
"0010","人口総数","1","無し","15102003002","新潟市東区粟山２丁目","人","628"
"0010","人口総数","1","無し","15102003003","新潟市東区粟山３丁目","人","659"
"0010","人口総数","1","無し","15102003004","新潟市東区粟山４丁目","人","979"
"0010","人口総数","1","無し","151020040","新潟市東区石山","人","0"
"0010","人口総数","1","無し","151020050","新潟市東区石山","人","3670"
"0010","人口総数","1","無し","15102005001","新潟市東区石山１丁目","人","463"
"0010","人口総数","1","無し","15102005002","新潟市東区石山２丁目","人","334"
"0010","人口総数","1","無し","15102005003","新潟市東区石山３丁目","人","944"
"0010","人口総数","1","無し","15102005004","新潟市東区石山４丁目","人","575"
"0010","人口総数","1","無し","15102005005","新潟市東区石山５丁目","人","525"
"0010","人口総数","1","無し","15102005006","新潟市東区石山６丁目","人","829"
"0010","人口総数","1","無し","151020060","新潟市東区石山団地","人","923"
"0010","人口総数","1","無し","151020070","新潟市東区石動","人","24"
"0010","人口総数","1","無し","151020080","新潟市東区榎","人","17"
"0010","人口総数","1","無し","151020090","新潟市東区榎町","人","16"
